,ANÁLISIS  INSTRUMENTAL cód. 6.1/Créditos 4,,,CONTAMINACIÓN Y REMEDIACIÓN DE SUELOS cód. 6.2 / Créditos 4,,,HIDROLOGÍA Y GESTIÓN DE CUENCAS HIDROGRÁFICAS cód. 6.3 / Créditos 3,,,SEGURIDAD E HIGIENE INDUSTRIAL cód. 6.4/Créditos 3,,,COSTOS Y PRESUPESTOS EN INGENIERÍA AMBIENTAL cód. 6.5/Créditos 4,,,SISTEMAS DE INFORMACIÓN GEOREFERENCIADA cód. 6.6/Créditos 4,,,,,,
VI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,QUÍMICA AMBIENTAL cód. 3.1/Créditos 5,,,"ECOLOGÍA, BIODIVERSIDAD Y RECURSOS NATURALES cód. 3.2 / Créditos 4",,,FÍSICA GENERAL cód. 3.3/Créditos 4,,,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA cód. 3.4 / Créditos 3,,,MÉTODOS NUMÉRICOS      cód. 3.5 / Créditos 3,,,TOPOGRAFA APLICADA A LA INGENIERÍA AMBIENTAL cód. 3.6 / Créditos 3,,,,,,
III,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,5,,,4,,,4,,,3,,,3,,,3,,,,,22
,,,,,,,,,,,,,,,,,,,,,,
,QUÍMICA ORGÁNICA cód 2.1/Créditos 4,,,BIOLOGÍA GENERAL cód. 2.2 / Créditos 4,,,"SOCIEDAD, CULTURA Y ECOLOGÍA cód. 2.3 / Créditos 3",,,"ÉTICA, CONVIVENCIA HUMANA Y CIUDADANÍA cód. 2.4 / Créditos 3",,,ANÁLISIS MATEMÁTICO cód. 2.5 / Créditos 4,,,CULTURA INVESTIGATIVA Y PENSAMIENTO CRITICO cód. 2.6 / Créditos 3,,,TALLER EG2 cód. 2.7 a 2.9 créditos 1,,,
II,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,4,,,4,,,3,,,3,,,4,,,3,,,1,,22
,,,,,,,,,,,,,,,,,,,,,,
,QUÍMICA GENERAL             cód 1.1 Créditos 4,,,INTRODUCCIÓN A LA INGENIERÍA cód 1.2   Créditos 4,,,DESARROLLO PERSONAL  cód. 1.3 / Créditos 3,,,DESARROLLO DEL PENSAMIENTO LÓGICO Y MATEMÁTICO  cód 1.4 / Créditos 3,,,INTRODUCCIÓN AL ANÁLISIS MATEMÁTICO cód. 1.5 / Créditos 4,,,LECTURA CRÍTICA Y REDACCIÓN DE TEXTOS ACADÉMICOS cód. 1.6 / Créditos 3,,,TALLER EG1 cód. 1.7 a 1.9  créditos 1,,,
I,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,4,,,4,,,3,,,3,,,4,,,3,,,1,,22
,,,,,,,,,,,,,,,,,,,,,,220
,,,,ESTUDIOS GENERALES,,,,,,,,,,,,,,,,,,
,,,,ESTUDIOS ESPECÍFICOS,,,,,,,,,,,,,,,,,,
,,,,ESTUDIOS DE ESPECIALIDAD,,,,,,,,,,,,,,,,,,
